,VendorID,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
80,2,1.0,13.15,264,264,1,55.5,2.5,0.5,17.42,7.69,1.0,87.11,2.5,0.0,0.0
81,2,2.0,17.16,264,42,1,70.0,0.0,0.5,0.0,7.75,1.0,79.25,0.0,0.0,0.0
82,2,1.0,4.66,233,151,1,24.7,1.0,0.5,9.55,7.77,1.0,47.77,2.5,0.0,0.75
83,2,1.0,3.62,74,140,1,70.0,0.0,0.5,16.52,7.84,1.0,99.11,2.5,0.0,0.75
84,2,1.0,12.14,231,138,1,50.6,0.0,0.5,10.0,7.94,1.0,73.29,2.5,0.0,0.75
85,1,2.0,3.1,230,230,1,3.0,3.25,0.5,0.0,8.0,1.0,15.75,2.5,0.0,0.75
86,2,1.0,16.36,162,132,1,70.0,5.0,0.5,21.97,8.13,1.0,109.85,2.5,0.0,0.75
87,2,3.0,10.98,28,164,1,70.0,5.0,0.5,17.59,8.19,1.0,105.53,2.5,0.0,0.75
88,2,4.0,2.28,132,132,1,80.72,0.0,0.0,0.0,8.21,1.0,89.93,0.0,0.0,0.0
89,2,1.0,19.77,186,259,1,103.8,0.0,0.5,23.36,8.25,1.0,140.16,2.5,0.0,0.75
90,2,1.0,11.0,233,138,1,42.9,6.0,0.5,12.4,8.34,1.0,74.39,2.5,0.0,0.75
91,2,1.0,0.91,148,45,2,70.0,5.0,0.5,0.0,8.38,1.0,88.13,2.5,0.0,0.75
92,2,1.0,11.6,265,1,1,115.0,0.0,0.0,24.89,8.44,1.0,149.33,0.0,0.0,0.0
93,2,1.0,1.66,142,238,1,10.0,0.0,0.5,3.0,8.5,1.0,25.5,2.5,0.0,0.0
94,2,4.0,0.17,134,197,1,85.0,0.0,0.0,18.91,8.55,1.0,113.46,0.0,0.0,0.0
95,2,2.0,0.01,48,48,1,70.0,5.0,0.5,10.0,8.64,1.0,98.39,2.5,0.0,0.75
96,2,1.0,16.78,74,265,1,87.7,0.0,0.5,19.58,8.68,1.0,117.46,0.0,0.0,0.0
97,2,2.0,0.0,166,166,1,70.0,0.0,0.5,16.04,8.69,1.0,96.23,0.0,0.0,0.0
98,2,1.0,2.84,234,107,1,20.5,1.0,0.5,10.5,8.75,1.0,45.5,2.5,0.0,0.75
99,2,1.0,16.21,132,140,1,70.0,0.0,0.5,16.73,8.89,1.0,100.37,2.5,0.0,0.75
100,2,1.0,2.65,145,230,4,70.0,0.0,0.5,0.0,8.93,1.0,83.68,2.5,0.0,0.75
101,1,1.0,3.2,145,264,1,70.0,3.25,0.5,16.66,8.94,1.0,100.35,2.5,0.0,0.75
102,2,1.0,4.53,234,112,4,24.7,1.0,0.5,0.0,8.99,1.0,39.44,2.5,0.0,0.75
103,2,3.0,3.19,223,138,4,70.0,5.0,0.0,0.0,9.0,1.0,85.0,0.0,0.0,0.0
104,2,2.0,6.82,170,198,1,35.2,0.0,0.5,4.82,9.05,1.0,53.07,2.5,0.0,0.0
105,2,1.0,11.24,162,138,1,46.4,5.0,0.5,13.05,9.11,1.0,78.31,2.5,0.0,0.75
106,2,1.0,9.55,170,138,1,38.0,5.0,0.5,11.37,9.12,1.0,68.24,2.5,0.0,0.75
107,2,2.0,15.22,10,230,1,70.0,0.0,0.5,16.79,9.19,1.0,100.73,2.5,0.0,0.75
108,2,1.0,1.98,170,68,4,70.0,0.0,0.5,0.0,9.24,1.0,83.99,2.5,0.0,0.75
109,2,1.0,16.5,132,249,1,70.0,0.0,0.5,7.5,9.25,1.0,91.5,2.5,0.0,0.75
110,2,1.0,9.65,162,138,1,38.7,5.0,0.5,5.0,9.27,1.0,62.72,2.5,0.0,0.75
111,2,3.0,17.0,132,68,1,70.0,0.0,0.5,15.0,9.44,1.0,99.19,2.5,0.0,0.75
112,2,1.0,13.58,226,132,1,94.35,0.0,0.0,10.0,9.45,1.0,114.8,0.0,0.0,0.0
113,2,3.0,7.71,162,97,4,34.5,0.0,0.5,0.0,9.49,1.0,51.24,2.5,0.0,0.75
114,1,4.0,12.3,230,138,2,52.7,9.25,0.5,0.0,9.5,1.0,72.95,2.5,0.0,0.75
