,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , , ,categorical__Partner_No, , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [19.8; 20.05],numeric__TotalCharges [19.8; 20.05]
11, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1, , , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 11.0],numeric__MonthlyCharges [19.95; 20.05],numeric__TotalCharges [20.05; 214.75]
12, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , ,categorical__PaymentMethod_Mailed check, , ,categorical__Dependents_No, , , ,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 25.05],numeric__TotalCharges [20.05; 25.05]
13, , , , , ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 69.5],numeric__TotalCharges [20.05; 69.5]
14, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1, , , , , , , ,categorical__gender_Male,categorical__Dependents_No, , , ,numeric__tenure [1.0; 27.0],numeric__MonthlyCharges [20.05; 30.75],numeric__TotalCharges [20.05; 805.1]
15, , ,categorical__InternetService_No, , ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , , ,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [19.45; 20.05],numeric__TotalCharges [19.45; 20.05]
16, , , , , ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male, , , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 50.15],numeric__TotalCharges [20.05; 50.15]
17, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1, , , , , , , ,categorical__gender_Male,categorical__Dependents_No, , , ,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 40.2],numeric__TotalCharges [20.05; 40.2]
18, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1, , , , , , , ,categorical__gender_Male,categorical__Dependents_No, , , ,numeric__tenure [1.0; 24.0],numeric__MonthlyCharges [20.05; 39.1],numeric__TotalCharges [20.05; 971.3]
19, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 2.0],numeric__MonthlyCharges [20.05; 44.95],numeric__TotalCharges [20.05; 85.15]
20, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , , ,categorical__Partner_No, , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 20.1],numeric__TotalCharges [20.05; 20.1]
21, , , , , ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 2.0],numeric__MonthlyCharges [20.05; 44.15],numeric__TotalCharges [20.05; 92.65]
22, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , ,categorical__PaymentMethod_Mailed check, , ,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 45.1],numeric__TotalCharges [20.05; 45.1]
